post_id,owner_id,PostEngagement,Content,Comments,Male,Female,Age,Gadget,Smartphone,Laptop,Smartwatch,Headphone,Tablet,Camera,Drone,Home_Appliance,Gaming_Console,Wearable_Device,Fitness_Tracker,VR_Headset,Smart_Home,Power_Bank,Bluetooth_Speaker,Action_Camera,E_Reader,Desktop_Computer,Projector
1380021,1260003,32.0,iPhone 16 Pro Max 256GB Color Desert,gooood; nice; อยากได้; โครตลั่นอะ,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380030,1260006,32.0,hello,500; earthsrichok@gmail.com; vijomc; ดีงามมม,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1380031,1260005,21.0,Premium Custom Football Shirt,แชมป์ตลอดกาล; แพงจังครับ; ⭐️⭐️⭐️,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1380032,1260010,1.0,สายชาร์ต Micro USB สีเทา,,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380033,1260011,2.0,8-13,,1,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1380034,1140001,1.0,jhhzqy,,1,0,21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380053,1260018,6.0,คอมพิวเตอร์ที่เหมาะสำหรับการเล่นเกมที่ซีเรียสจริงจัง พร้อมความทนทานที่รวมไว้ในเครื่องเดียว TUF Gaming F15 เป็นแล็ปท็อป Windows 10 Home สำหรับเกมที่สามารถพาคุณไปสู่ชัยชนะได้อย่างง่ายดาย ขับเคลื่อนด้วยโปรเซสเซอร์หลัก Intel Core และชิปกราฟิกจาก GeForce GTX ที่พร้อมจะมอบการเล่นเกมที่ลื่นไหล เต็มอิ่มกับการแสดงผลบนจอภาพ IPS พร้อมอัตรารีเฟรช 144 เฮิร์ตซ์ ที่ให้ภาพนุ่มนวลไม่มีกระตุก ตัวเครื่องมีขนาดเล็กและพกพาสะดวกกว่ารุ่นก่อนหน้า TUF Gaming F15 ตัวนี้ยังมีแบตเตอรี่่ความจุสูง เพื่ออายุการใช้งานที่เหนือกว่า พร้อมระบบระบายความร้อนและฟังก์ชั่นการทำความสะอาดตัวเองที่มีประสิทธิภาพ รวมกับความทนทานระดับกองทัพ ทำให้ TUF เป็นคอมพิวเตอร์ที่มีเอกลักษณ์ เหมาะสำหรับนักรบที่พร้อมเดินทางไปต่อสู้ในยุทธภพที่หลากหลาย,,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380054,1260018,2.0,ขจัดทุกอุปสรรคที่ขวางทางสู่ชัยชนะด้วยเมาส์ที่เร็วที่สุดและเบาที่สุดของเรา อาวุธใหม่ที่ยอดเยี่ยมสําหรับนักกีฬาอีสปอร์ตระดับมืออาชีพชั้นนําของโลก ด้วยน้ําหนักไม่ถึง 63 กรัม และมอบการเลื่อนที่เกือบไร้แรงเสียดทาน PRO X SUPERLIGHT,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380055,1260018,3.0,ต้องบอกก่อนว่า SoundPEATS AIR3 มีค่าตัวที่สูงกว่า SoundPEATS TrueAir 2 อยู่เล็กน้อยถึงปานกลาง แต่ถ้าเพิ่มงบประมาณแล้วได้กล่องชาร์จที่เล็กกระทัดรัดขึ้น ไมค์ดีขึ้น และโทนเสียงที่ฟังละมุนและเข้าถึงง่ายมากขึ้น ก็ต้องบอกเลยว่า SoundPEATS Air3 เป็นตัวเลือกที่ท่านพลาดไม่ได้หากท่านเน้นใช้หูฟังคุยโทรศัพท์เป็นหลัก และใช้งานฟังเพลงในกิจวัตรประจำวันทั่วไปครับ,,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380056,1260021,1.0,AirPods 4 มอบประสบการณ์ด้านเสียงที่เปลี่ยนแปลงไปอย่างสิ้นเชิงด้วยคุณสมบัติการแยกเสียง การโต้ตอบกับ Siri และเสียงเชิงมิติพื้นที่สำหรับคุณ อีกทั้งยังมาพร้อมความกระชับพอดีที่อัปเดตมาใหม่เพื่อความสบายตลอดวัน,อยากได้จุงเบย,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380057,1260021,2.0,เก้าอี้เกมมิ่ง ANDA SEAT KAISER 3 SERIES PREMIUM GAMING CHAIR ออกแบบมาสำหรับเกมเมอร์ มีสีให้เลือกหลากหลาย และทำจากวัสดุคุณภาพสูง ใช้เฉพาะวัสดุที่มีคุณภาพรวมถึง Kaiser 3 ตัวหนังเป็นแบบ DuraXtra ซึ่งมีความนุ่มและสบาย และลดร่องรอยจากการขีดข่วนและป้องกันคราบได้ดี ตัวโฟมแบบพิเศษ มีความหนาแน่นสูง มีความแข็งแรงและยืดหยุ่น ซึ่งทนต่อการใช้งานเป็นระยะเวลานาน เบาะนั่งมีขนาดกว้างใหญ่พิเศษ เบาะถูกออกแบบตามหลักสรีรศาสตร์ ทำให้คุณนั่งสบายได้อย่างมั่นใจ ลดอาการเมื่อยล้า Kaiser 3 ออกแบบมาให้ประกอบได้ง่าย,Look so coolllll,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380058,1260021,1.0,Tengu Gaming Chair Muramasa เก้าอี้เกมมิ่งที่ ทรงสายสปอร์ต สุดเท่ ที่เกมเมอร์ตัวจริงต้องมีในครอบครอง วัสดุหนัง PU ที่สามารถทนน้ำและสารเคมีได้ ทำความสะอาดง่าย นั่งสบายสามารถปรับเอนได้ตั้งแต่ 90-135 องศา โครงสร้างภายในเป็นเหล็กอย่างดีแข็งแรงรับน้ำหนักได้ถึง 120 กก. ฐานล้อเป็นไนลอน แข็งแรง ทนทาน รับน้ำหนักได้ดี ที่ท้าวแขน แสนสบาย เอาใจคนร่างเล็ก ด้วยการปรับความสูงสุดได้ถึง 10 ซม. มีที่พักเท้า แสนสบาย,,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380059,1260021,1.0,Galaxy Z Flip6    โดดเด่นในสไตล์แบบของคุณ ขนาดเล็กกะทัดรัด พกพาง่าย ถ่ายภาพได้คมชัด ขณะถูกถ่ายภาพ มองเห็นตัวเองและเพื่อนชัดแบบเรียลไทม์ ได้ช็อตเป๊ะถูกใจ ปรับมุมได้หลายองศา Galaxy AI ชีวิตที่ง่ายและเหนือไปอีกขั้นจะตอบแชท ไถฟีด หรือใช้งานแอพต่างๆ บนจอนอกก็ทำได้ง่ายกว่าที่เคย สนุกกับการตกแต่งจอนอกกับวอลเปเปอร์ที่เคลื่อนไหวตามท่าทางมาพร้อมแบตเตอรี่ขนาดใหญ่ ใช้งานยาวนาน ไม่ต้องห่วงแบตหมดระหว่างวัน,,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380061,1260021,2.0,AMAZINGthing MacBook Sleeve 14 inch Matte Pro with Stand กระเป๋า MacBook Sleeve ซีรีส์ Matte Pro Mag with Stand การปิดด้วยแม่เหล็กแบบ snap-and-go ช่วยให้แล็ปท็อปปลอดภัย สามารถถือมือเดียวได้แบบสบาย ๆ สามารถใส่กับ MacBook ขนาดสูงสุดได้ถึง 14 นิ้ว,,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380062,1260021,1.0,พาวเวอร์แบงค์ AUKEY Magnetic Wireless Charging PB-MS02 สามารถใช้ชาร์จได้ทั้งแบบมีสาย และชาร์จไร้สาย Wireless Charging มาพร้อมกับช่องการชาร์จ จำนวน 1 ช่อง จ่ายไฟสูงสุดที่ 30W ส่วนการชาร์จไร้สายจ่ายไฟสูงสุดที่ 15W มีไฟ LED แสดงสถานการณ์ใช้งาน  เสริมด้วยขาตั้งพับเก็บได้ เพิ่มความสะดวกสบายในการใช้งาน,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
